,obj_value
412,tensor(0.0439)
413,tensor(0.0479)
414,tensor(0.0479)
415,tensor(0.0471)
416,tensor(0.0462)
417,tensor(0.0494)
418,tensor(0.0485)
419,tensor(0.0502)
420,tensor(0.0488)
421,tensor(0.0485)
422,tensor(0.0500)
423,tensor(0.0509)
424,tensor(0.0473)
425,tensor(0.0560)
426,tensor(0.0557)
427,tensor(0.0518)
428,tensor(0.0513)
429,tensor(0.0523)
430,tensor(0.0507)
431,tensor(0.0517)
432,tensor(0.0529)
433,tensor(0.0570)
434,tensor(0.0613)
435,tensor(0.0599)
436,tensor(0.0622)
437,tensor(0.0598)
438,tensor(0.0596)
439,tensor(0.0609)
440,tensor(0.0660)
441,tensor(0.0692)
442,tensor(0.0694)
443,tensor(0.0732)
444,tensor(0.0727)
445,tensor(0.0699)
446,tensor(0.0667)
447,tensor(0.0682)
448,tensor(0.0663)
449,tensor(0.0673)
450,tensor(0.0606)
451,tensor(0.0538)
452,tensor(0.0537)
453,tensor(0.0548)
454,tensor(0.0447)
455,tensor(0.0418)
456,tensor(0.0413)
457,tensor(0.0427)
458,tensor(0.0634)
459,tensor(0.0624)
460,tensor(0.0550)
461,tensor(0.0529)
462,tensor(0.0618)
463,tensor(0.0586)
464,tensor(0.0601)
465,tensor(0.0603)
466,tensor(0.0712)
467,tensor(0.0678)
468,tensor(0.0702)
469,tensor(0.0746)
470,tensor(0.0762)
471,tensor(0.0756)
472,tensor(0.0718)
473,tensor(0.0716)
474,tensor(0.0741)
475,tensor(0.0793)
476,tensor(0.0628)
477,tensor(0.0678)
478,tensor(0.0622)
479,tensor(0.0657)
480,tensor(0.0697)
481,tensor(0.0705)
482,tensor(0.0672)
483,tensor(0.0830)
484,tensor(0.0941)
485,tensor(0.0935)
486,tensor(0.0989)
487,tensor(0.0961)
488,tensor(0.0940)
489,tensor(0.0965)
490,tensor(0.1192)
491,tensor(0.1207)
492,tensor(0.1163)
493,tensor(0.1159)
494,tensor(0.1166)
495,tensor(0.0981)
496,tensor(0.1009)
497,tensor(0.1001)
498,tensor(0.1058)
499,tensor(0.1032)
500,tensor(0.0970)
501,tensor(0.0985)
502,tensor(0.1034)
503,tensor(0.1011)
504,tensor(0.1006)
505,tensor(0.1003)
506,tensor(0.1013)
507,tensor(0.0995)
508,tensor(0.0978)
509,tensor(0.0986)
510,tensor(0.0953)
511,tensor(0.0888)
512,tensor(0.0892)
513,tensor(0.0966)
514,tensor(0.0960)
515,tensor(0.0956)
516,tensor(0.0942)
517,tensor(0.0942)
518,tensor(0.0942)
519,tensor(0.1002)
520,tensor(0.1018)
521,tensor(0.0953)
522,tensor(0.0905)
523,tensor(0.0928)
524,tensor(0.0932)
525,tensor(0.0896)
526,tensor(0.0966)
527,tensor(0.0920)
528,tensor(0.0915)
529,tensor(0.1006)
530,tensor(0.1068)
531,tensor(0.1095)
532,tensor(0.1111)
533,tensor(0.1161)
534,tensor(0.1206)
535,tensor(0.1235)
536,tensor(0.1218)
537,tensor(0.1223)
538,tensor(0.1168)
539,tensor(0.1241)
540,tensor(0.1316)
541,tensor(0.1327)
542,tensor(0.1303)
543,tensor(0.1332)
544,tensor(0.1310)
545,tensor(0.1249)
546,tensor(0.1245)
547,tensor(0.1301)
548,tensor(0.1275)
549,tensor(0.1262)
550,tensor(0.1246)
551,tensor(0.1228)
552,tensor(0.1191)
553,tensor(0.1242)
554,tensor(0.1213)
555,tensor(0.1205)
556,tensor(0.1278)
557,tensor(0.1266)
558,tensor(0.1285)
559,tensor(0.1238)
560,tensor(0.1211)
561,tensor(0.1270)
562,tensor(0.1228)
563,tensor(0.1265)
564,tensor(0.1220)
565,tensor(0.1246)
566,tensor(0.1198)
567,tensor(0.1208)
568,tensor(0.1241)
569,tensor(0.1207)
570,tensor(0.1160)
571,tensor(0.1222)
572,tensor(0.1304)
573,tensor(0.1327)
574,tensor(0.1284)
575,tensor(0.1287)
576,tensor(0.1314)
577,tensor(0.1337)
578,tensor(0.1352)
579,tensor(0.1303)
580,tensor(0.1354)
581,tensor(0.1398)
582,tensor(0.1406)
583,tensor(0.1381)
584,tensor(0.1451)
585,tensor(0.1305)
586,tensor(0.1397)
587,tensor(0.1411)
588,tensor(0.1378)
589,tensor(0.1325)
590,tensor(0.1396)
591,tensor(0.1379)
592,tensor(0.1402)
593,tensor(0.1398)
594,tensor(0.1405)
595,tensor(0.1379)
596,tensor(0.1199)
597,tensor(0.1163)
598,tensor(0.1149)
599,tensor(0.1232)
600,tensor(0.1214)
601,tensor(0.1232)
602,tensor(0.1273)
603,tensor(0.1402)
604,tensor(0.1289)
605,tensor(0.1259)
606,tensor(0.1293)
607,tensor(0.1293)
608,tensor(0.1232)
609,tensor(0.1236)
610,tensor(0.1221)
611,tensor(0.1226)
612,tensor(0.1224)
613,tensor(0.1270)
614,tensor(0.1268)
615,tensor(0.1276)
616,tensor(0.1312)
617,tensor(0.1325)
618,tensor(0.1211)
619,tensor(0.1180)
620,tensor(0.1194)
621,tensor(0.1287)
622,tensor(0.1266)
623,tensor(0.1230)
624,tensor(0.1213)
625,tensor(0.1244)
626,tensor(0.1335)
627,tensor(0.1298)
628,tensor(0.1300)
629,tensor(0.1172)
630,tensor(0.1151)
631,tensor(0.1218)
632,tensor(0.1151)
633,tensor(0.1251)
634,tensor(0.1226)
635,tensor(0.1288)
636,tensor(0.1303)
637,tensor(0.1215)
638,tensor(0.1264)
639,tensor(0.1117)
640,tensor(0.1150)
641,tensor(0.1120)
642,tensor(0.1103)
643,tensor(0.1184)
644,tensor(0.1142)
645,tensor(0.1114)
646,tensor(0.1142)
647,tensor(0.1084)
648,tensor(0.1167)
649,tensor(0.1170)
650,tensor(0.1146)
651,tensor(0.1193)
652,tensor(0.1204)
653,tensor(0.1179)
654,tensor(0.1158)
655,tensor(0.1146)
656,tensor(0.1146)
657,tensor(0.1135)
658,tensor(0.0985)
659,tensor(0.1008)
660,tensor(0.1023)
661,tensor(0.1092)
662,tensor(0.0982)
663,tensor(0.1027)
664,tensor(0.1007)
665,tensor(0.1019)
666,tensor(0.1037)
667,tensor(0.1026)
668,tensor(0.0993)
669,tensor(0.0937)
670,tensor(0.0973)
671,tensor(0.0963)
672,tensor(0.0934)
673,tensor(0.0916)
674,tensor(0.0921)
675,tensor(0.0960)
676,tensor(0.0939)
677,tensor(0.0946)
678,tensor(0.0943)
679,tensor(0.0836)
680,tensor(0.0757)
681,tensor(0.0812)
682,tensor(0.0746)
683,tensor(0.0740)
684,tensor(0.0742)
685,tensor(0.0805)
686,tensor(0.0771)
687,tensor(0.0729)
688,tensor(0.0697)
689,tensor(0.0725)
690,tensor(0.0702)
691,tensor(0.0735)
692,tensor(0.0702)
693,tensor(0.0767)
694,tensor(0.0779)
695,tensor(0.0770)
696,tensor(0.0798)
697,tensor(0.0733)
698,tensor(0.0728)
699,tensor(0.0724)
700,tensor(0.0729)
701,tensor(0.0746)
702,tensor(0.0731)
703,tensor(0.0745)
704,tensor(0.0695)
705,tensor(0.0718)
706,tensor(0.0716)
707,tensor(0.0703)
708,tensor(0.0668)
709,tensor(0.0710)
710,tensor(0.0735)
711,tensor(0.0711)
712,tensor(0.0736)
713,tensor(0.0705)
714,tensor(0.0701)
715,tensor(0.0739)
716,tensor(0.0732)
717,tensor(0.0717)
718,tensor(0.0699)
719,tensor(0.0740)
720,tensor(0.0740)
721,tensor(0.0728)
722,tensor(0.0713)
723,tensor(0.0733)
724,tensor(0.0654)
725,tensor(0.0725)
726,tensor(0.0731)
727,tensor(0.0746)
728,tensor(0.0731)
729,tensor(0.0657)
730,tensor(0.0735)
731,tensor(0.0723)
732,tensor(0.0676)
733,tensor(0.0730)
734,tensor(0.0671)
735,tensor(0.0698)
736,tensor(0.0705)
737,tensor(0.0704)
738,tensor(0.0695)
739,tensor(0.0666)
740,tensor(0.0665)
741,tensor(0.0708)
742,tensor(0.0674)
743,tensor(0.0728)
744,tensor(0.0763)
745,tensor(0.0792)
746,tensor(0.0766)
747,tensor(0.0774)
748,tensor(0.0769)
749,tensor(0.0730)
750,tensor(0.0728)
751,tensor(0.0755)
752,tensor(0.0737)
753,tensor(0.0761)
754,tensor(0.0767)
755,tensor(0.0736)
756,tensor(0.0749)
757,tensor(0.0750)
758,tensor(0.0720)
759,tensor(0.0738)
760,tensor(0.0734)
761,tensor(0.0749)
762,tensor(0.0760)
763,tensor(0.0766)
764,tensor(0.0743)
765,tensor(0.0724)
766,tensor(0.0741)
767,tensor(0.0626)
768,tensor(0.0656)
769,tensor(0.0601)
770,tensor(0.0663)
771,tensor(0.0670)
772,tensor(0.0631)
773,tensor(0.0644)
774,tensor(0.0628)
775,tensor(0.0660)
776,tensor(0.0634)
777,tensor(0.0676)
778,tensor(0.0648)
779,tensor(0.0655)
780,tensor(0.0610)
781,tensor(0.0642)
782,tensor(0.0596)
783,tensor(0.0607)
784,tensor(0.0619)
785,tensor(0.0633)
786,tensor(0.0641)
787,tensor(0.0630)
788,tensor(0.0647)
789,tensor(0.0645)
790,tensor(0.0660)
791,tensor(0.0629)
792,tensor(0.0583)
793,tensor(0.0576)
794,tensor(0.0617)
795,tensor(0.0646)
796,tensor(0.0637)
797,tensor(0.0633)
798,tensor(0.0638)
799,tensor(0.0670)
800,tensor(0.0596)
801,tensor(0.0620)
802,tensor(0.0645)
803,tensor(0.0623)
804,tensor(0.0626)
805,tensor(0.0635)
806,tensor(0.0606)
807,tensor(0.0611)
808,tensor(0.0588)
809,tensor(0.0597)
810,tensor(0.0587)
811,tensor(0.0615)
812,tensor(0.0615)
813,tensor(0.0572)
814,tensor(0.0591)
815,tensor(0.0623)
816,tensor(0.0568)
817,tensor(0.0554)
818,tensor(0.0565)
819,tensor(0.0580)
820,tensor(0.0562)
821,tensor(0.0607)
822,tensor(0.0561)
823,tensor(0.0565)
824,tensor(0.0580)
825,tensor(0.0565)
826,tensor(0.0549)
827,tensor(0.0559)
828,tensor(0.0534)
829,tensor(0.0522)
830,tensor(0.0565)
831,tensor(0.0569)
832,tensor(0.0552)
833,tensor(0.0546)
834,tensor(0.0593)
835,tensor(0.0582)
836,tensor(0.0555)
837,tensor(0.0538)
838,tensor(0.0551)
839,tensor(0.0556)
840,tensor(0.0550)
841,tensor(0.0563)
842,tensor(0.0554)
843,tensor(0.0553)
844,tensor(0.0553)
845,tensor(0.0521)
846,tensor(0.0451)
847,tensor(0.0519)
848,tensor(0.0537)
849,tensor(0.0511)
850,tensor(0.0508)
851,tensor(0.0521)
852,tensor(0.0526)
853,tensor(0.0487)
854,tensor(0.0504)
855,tensor(0.0535)
856,tensor(0.0491)
857,tensor(0.0483)
858,tensor(0.0462)
859,tensor(0.0481)
860,tensor(0.0485)
861,tensor(0.0490)
862,tensor(0.0439)
863,tensor(0.0462)
864,tensor(0.0472)
865,tensor(0.0502)
866,tensor(0.0512)
867,tensor(0.0517)
868,tensor(0.0516)
869,tensor(0.0494)
870,tensor(0.0505)
871,tensor(0.0501)
872,tensor(0.0525)
873,tensor(0.0535)
874,tensor(0.0488)
875,tensor(0.0521)
876,tensor(0.0513)
877,tensor(0.0521)
878,tensor(0.0530)
879,tensor(0.0496)
880,tensor(0.0448)
881,tensor(0.0468)
882,tensor(0.0493)
883,tensor(0.0503)
884,tensor(0.0511)
885,tensor(0.0491)
886,tensor(0.0463)
887,tensor(0.0537)
888,tensor(0.0549)
889,tensor(0.0506)
890,tensor(0.0466)
891,tensor(0.0480)
892,tensor(0.0479)
893,tensor(0.0501)
894,tensor(0.0520)
895,tensor(0.0525)
896,tensor(0.0469)
897,tensor(0.0500)
898,tensor(0.0492)
899,tensor(0.0484)
900,tensor(0.0506)
901,tensor(0.0496)
902,tensor(0.0493)
903,tensor(0.0488)
904,tensor(0.0448)
905,tensor(0.0469)
906,tensor(0.0488)
907,tensor(0.0470)
908,tensor(0.0472)
909,tensor(0.0447)
910,tensor(0.0484)
911,tensor(0.0503)
912,tensor(0.0472)
913,tensor(0.0455)
914,tensor(0.0480)
915,tensor(0.0460)
916,tensor(0.0435)
917,tensor(0.0483)
918,tensor(0.0429)
919,tensor(0.0449)
920,tensor(0.0469)
921,tensor(0.0478)
922,tensor(0.0462)
923,tensor(0.0466)
924,tensor(0.0492)
925,tensor(0.0495)
926,tensor(0.0457)
927,tensor(0.0456)
928,tensor(0.0472)
929,tensor(0.0481)
930,tensor(0.0444)
931,tensor(0.0446)
932,tensor(0.0439)
933,tensor(0.0458)
934,tensor(0.0463)
935,tensor(0.0471)
936,tensor(0.0427)
937,tensor(0.0480)
938,tensor(0.0442)
939,tensor(0.0450)
940,tensor(0.0475)
941,tensor(0.0466)
942,tensor(0.0485)
943,tensor(0.0488)
944,tensor(0.0467)
945,tensor(0.0504)
946,tensor(0.0443)
947,tensor(0.0450)
948,tensor(0.0450)
949,tensor(0.0452)
950,tensor(0.0442)
951,tensor(0.0449)
952,tensor(0.0434)
953,tensor(0.0437)
