,obj_value,,
421,5.124845505,,
422,5.124671936,,
423,5.124248981,,
424,5.133738995,,
425,5.137904167,,
426,5.139648438,,
427,5.142370224,,
428,5.142749786,,
429,5.141909122,,
430,5.142737865,,
431,5.142961025,,
432,5.144102573,,
433,5.144294262,,
434,5.146033287,,
435,5.148161888,,
436,5.148705482,,
437,5.153265953,,
438,5.153304577,,
439,5.158186436,,
440,5.159241199,,
441,5.160476208,,
442,5.164936066,,
443,5.165364742,,
444,5.166799068,,
445,5.167572975,,
446,5.169484615,,
447,5.169949532,,
448,5.170664787,,
449,5.173498154,,
450,5.175418854,,
451,5.176725388,,
452,5.177879333,,
453,5.179741859,,
454,5.181148052,,
455,5.182965755,,
456,5.183312416,,
457,5.187804699,,
458,5.183990002,,
459,5.184553146,,
460,5.186625957,,
461,5.186817169,,
462,5.188833237,,
463,5.190603256,,
464,5.191074371,,
465,5.195696354,,
466,5.197488785,,
467,5.200051308,,
468,5.202732086,,
469,5.204315186,,
470,5.207818508,,
471,5.209573746,,
472,5.211771011,,
473,5.212571621,,
474,5.213956833,,
475,5.215512753,,
476,5.216398239,,
477,5.218281269,,
478,5.220335007,,
479,5.220689297,,
480,5.221033573,,
481,5.222396374,,
482,5.224972725,,
483,5.223867416,,
484,5.225013256,,
485,5.225794315,,
486,5.228965282,,
487,5.230981827,,
488,5.233126163,,
489,5.236271858,,
490,5.237081051,,
491,5.238596439,,
492,5.23982048,,
493,5.240507603,,
494,5.241528988,,
495,5.243672848,,
496,5.245510578,,
497,5.246306896,,
498,5.249415398,,
499,5.251208782,,
500,5.254101276,,
501,5.253465652,,
502,5.256754875,,
503,5.257464409,,
504,5.257883072,,
505,5.259290695,,
506,5.263227463,,
507,5.26560545,,
508,5.264774323,,
509,5.267252922,,
510,5.26884222,,
511,5.271236897,,
512,5.273973942,,
513,5.275505543,,
514,5.274561405,,
515,5.280902386,,
516,5.27731657,,
517,5.28027153,,
518,5.281198978,,
519,5.283676624,,
520,5.285905361,,
521,5.287059307,,
522,5.291583061,,
523,5.291134357,,
524,5.292872906,,
525,5.294625282,,
526,5.29854393,,
527,5.300656319,,
528,5.301784515,,
529,5.302716255,,
530,5.30160141,,
531,5.302528858,,
532,5.304564953,,
533,5.307238579,,
534,5.306746006,,
535,5.308111191,,
536,5.310391903,,
537,5.31297493,,
538,5.313663483,,
539,5.31563282,,
540,5.317957878,,
541,5.320710659,,
542,5.321966171,,
543,5.32267189,,
544,5.324203014,,
545,5.32649374,,
546,5.327422619,,
547,5.32824707,,
548,5.332084656,,
549,5.333276749,,
550,5.335517883,,
551,5.338848591,,
552,5.341763973,,
553,5.343393326,,
554,5.34299612,,
555,5.343739986,,
556,5.344303131,,
557,5.348260403,,
558,5.348528862,,
559,5.350040436,,
560,5.351388931,,
561,5.352231503,,
562,5.354080677,,
563,5.356601238,,
564,5.35802269,,
565,5.360580444,,
566,5.362341404,,
567,5.363958359,,
568,5.364044666,,
569,5.360982418,,
570,5.363098621,,
571,5.363873482,,
572,5.364943981,,
573,5.366605759,,
574,5.370741844,,
575,5.372170925,,
576,5.371772766,,
577,5.376842022,,
578,5.377335072,,
579,5.376395226,,
580,5.377244949,,
581,5.379221916,,
582,5.38012886,,
583,5.383683681,,
584,5.385436058,,
585,5.386760235,,
586,5.388968468,,
587,5.389847755,,
588,5.391196251,,
589,5.392699718,,
590,5.394145966,,
591,5.39456892,,
592,5.396753311,,
593,5.401798248,,
594,5.401581764,,
595,5.403602123,,
596,5.403817177,,
597,5.405463219,,
598,5.406982899,,
599,5.408724785,,
600,5.409824371,,
601,5.409762859,,
602,5.412223816,,
603,5.412909031,,
604,5.414627075,,
605,5.41740799,,
606,5.41896534,,
607,5.418558121,,
608,5.415657043,,
609,5.420278549,,
610,5.416733742,,
611,5.41800642,,
612,5.421245098,,
613,5.422460079,,
614,5.422951698,,
615,5.425171852,,
616,5.42505455,,
617,5.428954124,,
618,5.430593014,,
619,5.429799557,,
620,5.429917812,,
621,5.430716515,,
622,5.432454109,,
623,5.433529377,,
624,5.434631824,,
625,5.435433865,,
626,5.438382626,,
627,5.439026833,,
628,5.43930006,,
629,5.441620827,,
630,5.449524403,,
631,5.451873302,,
632,5.452640057,,
633,5.452514648,,
634,5.454775333,,
635,5.456406116,,
636,5.459251404,,
637,5.462325096,,
638,5.4658041,,
639,5.466782093,,
640,5.469808578,,
641,5.472056389,,
642,5.475815296,,
643,5.477595329,,
644,5.478719711,,
645,5.47759676,,
646,5.479048729,,
647,5.47926569,,
648,5.481228352,,
649,5.481608391,,
650,5.481402397,,
651,5.484679222,,
652,5.484906673,,
653,5.483902931,,
654,5.485167503,,
655,5.486288071,,
656,5.486423016,,
657,5.487402439,,
658,5.488101482,,
659,5.48764801,,
660,5.489103794,,
661,5.490417004,,
662,5.49126339,,
663,5.491652489,,
664,5.492774487,,
665,5.497173309,,
666,5.499277115,,
667,5.5019207,,
668,5.503738403,,
669,5.504314899,,
670,5.507508755,,
671,5.509152412,,
672,5.510410309,,
673,5.512321949,,
674,5.514663696,,
675,5.513866425,,
676,5.512461662,,
677,5.514356613,,
678,5.517320633,,
679,5.516972065,,
680,5.518981934,,
681,5.520835876,,
682,5.524067879,,
683,5.524755478,,
684,5.526834011,,
685,5.528312683,,
686,5.529361725,,
687,5.529005051,,
688,5.530430794,,
689,5.532420158,,
690,5.532782555,,
691,5.535199165,,
692,5.535942554,,
693,5.535747528,,
694,5.535885334,,
695,5.536774158,,
696,5.537014008,,
697,5.53800869,,
698,5.537988663,,
699,5.539209366,,
700,5.539731026,,
701,5.538580894,,
702,5.539159298,,
703,5.539723396,,
704,5.538465023,,
705,5.538221836,,
706,5.538547516,,
707,5.539556503,,
708,5.54038763,,
709,5.542521477,,
710,5.542316437,,
711,5.542506218,,
712,5.544080257,,
713,5.545992374,,
714,5.548053265,,
715,5.551899433,,
716,5.55440712,,
717,5.556272984,,
718,5.552838326,,
719,5.552479744,,
720,5.553138733,,
721,5.554086685,,
722,5.558521748,,
723,5.560480118,,
724,5.561115742,,
725,5.562120438,,
726,5.564991474,,
727,5.565848827,,
728,5.56774044,,
729,5.568443298,,
730,5.567882061,,
731,5.569146156,,
732,5.569869995,,
733,5.572372437,,
734,5.573481083,,
735,5.575549603,,
736,5.576504707,,
737,5.578013897,,
738,5.578445435,,
739,5.580522537,,
740,5.579319477,,
741,5.581746101,,
742,5.583723068,,
743,5.586511612,,
744,5.587790966,,
745,5.589892864,,
746,5.591701508,,
747,5.594594955,,
748,5.595385551,,
749,5.596645355,,
750,5.597397804,,
751,5.597869873,,
752,5.599971771,,
753,5.601716518,,
754,5.602114677,,
755,5.603255272,,
756,5.60483408,,
757,5.605611801,,
758,5.605665684,,
759,5.606697559,,
760,5.606491566,,
761,5.607356548,,
762,5.606887817,,
763,5.608097076,,
764,5.609146595,,
765,5.610645771,,
766,5.612092018,,
767,5.612755299,,
768,5.614191055,,
769,5.617053986,,
770,5.618087769,,
771,5.619178772,,
772,5.619784355,,
773,5.620076656,,
774,5.618645191,,
775,5.619886875,,
776,5.62049818,,
777,5.622330189,,
778,5.623886108,,
779,5.627686501,,
780,5.628443718,,
781,5.627598763,,
782,5.628614902,,
783,5.630221844,,
784,5.632033348,,
785,5.634248257,,
786,5.636084557,,
787,5.636753559,,
788,5.636022091,,
789,5.638218403,,
790,5.638211727,,
791,5.637300014,,
792,5.637483597,,
793,5.63739872,,
794,5.639032364,,
795,5.639531136,,
796,5.640066147,,
797,5.640571117,,
798,5.641591549,,
799,5.64350462,,
800,5.643437862,,
801,5.643669128,,
802,5.64543581,,
803,5.64418745,,
804,5.646773338,,
805,5.647918224,,
806,5.649050713,,
807,5.649646282,,
808,5.651912689,,
809,5.652603149,,
810,5.652488708,,
811,5.649294853,,
812,5.651793957,,
813,5.651432991,,
814,5.654064178,,
815,5.651163578,,
816,5.651116848,,
817,5.653737545,,
818,5.659842968,,
819,5.661425591,,
820,5.659450054,,
821,5.660789013,,
822,5.661560059,,
823,5.663035393,,
824,5.664471149,,
825,5.664422989,,
826,5.664013863,,
827,5.664718151,,
828,5.666070461,,
829,5.66505909,,
830,5.666120529,,
831,5.667338371,,
832,5.67004776,,
833,5.67051506,,
834,5.673462391,,
835,5.67104435,,
836,5.670250893,,
837,5.671089172,,
838,5.671988964,,
839,5.672789574,,
840,5.675866127,,
841,5.675813198,,
842,5.675635815,,
843,5.676898956,,
844,5.681647301,,
845,5.680918217,,
846,5.682517052,,
847,5.683837414,,
848,5.683055878,,
849,5.684020996,,
850,5.682708263,,
851,5.683110714,,
852,5.683664322,,
853,5.684009552,,
854,5.686055183,,
855,5.685626984,,
856,5.688238144,,
857,5.688784122,,
858,5.687662125,,
859,5.688166142,,
860,5.689662933,,
861,5.689924717,,
862,5.690836906,,
863,5.690476418,,
864,5.691273689,,
865,5.692841053,,
866,5.694363594,,
867,5.695761681,,
868,5.697826385,,
869,5.699444771,,
870,5.700688362,,
871,5.700685024,,
872,5.70264101,,
873,5.704426765,,
874,5.704677582,,
875,5.706026077,,
876,5.707021713,,
877,5.707989693,,
878,5.708445549,,
879,5.709841251,,
880,5.712809086,,
881,5.714898109,,
882,5.714403629,,
883,5.71680069,,
884,5.718274117,,
885,5.717434883,,
886,5.717465401,,
887,5.71821785,,
888,5.719847679,,
889,5.72016573,,
890,5.723128319,,
891,5.725393295,,
892,5.724998474,,
893,5.723696232,,
894,5.723990917,,
895,5.724305153,,
896,5.72397995,,
897,5.725726604,,
898,5.726958752,,
899,5.724350929,,
900,5.724473953,,
901,5.725538254,,
902,5.724488735,,
903,5.728466034,,
904,5.73002243,,
905,5.733263493,,
906,5.735124588,,
907,5.737498283,,
908,5.738317013,,
909,5.738684177,,
910,5.740686417,,
911,5.741259575,,
912,5.743001938,,
913,5.742630482,,
914,5.7425704,,
915,5.746966362,,
916,5.746286869,,
917,5.746448517,,
918,5.747565746,,
919,5.748978615,,
920,5.750141144,,
921,5.74974823,,
922,5.749965191,,
923,5.749676704,,
924,5.751083851,,
925,5.751761436,,
926,5.753839016,,
927,5.755423069,,
928,5.755822182,,
929,5.757848263,,
930,5.758495808,,
931,5.757908821,,
932,5.759148598,,
933,5.759600639,,
934,5.762951851,,
935,5.764143467,,
936,5.765246868,,
937,5.766478062,,
938,5.767495155,,
939,5.765265465,,
940,5.765921116,,
941,5.766272068,,
942,5.764763832,,
943,5.765908718,,
944,5.767101288,,
945,5.767021656,,
946,5.768716335,,
947,5.769628048,,
948,5.772090912,,
949,5.772538185,,
950,5.772009373,,
951,5.771640778,,
952,5.772326946,,
953,5.775084496,,
954,5.777367115,,
955,5.780126572,,
956,5.780352592,,
957,5.780627728,,
958,5.784296036,,
959,5.784838676,,
960,5.786225796,,
961,5.787078857,,
962,5.788555145,,
963,5.78878355,,
964,5.788709641,,
965,5.785722733,,
966,5.784826279,,
967,5.790719032,,
968,5.791575909,,
969,5.791155815,,
970,5.793126106,,
971,5.793745518,,
