,obj_value,violate
411,5.727929115,0.031455253
412,5.734681606,0.030812265
413,5.733643532,0.030495721
414,5.734556198,0.03043515
415,5.736296177,0.031601043
416,5.739947319,0.03098105
417,5.741014957,0.030782741
418,5.732258797,0.032253793
419,5.740590096,0.033790514
420,5.749137878,0.034279178
421,5.746059418,0.034919476
422,5.745489597,0.035306587
423,5.739688873,0.03750557
424,5.742687225,0.035420608
425,5.743688583,0.035316819
426,5.744908333,0.036788199
427,5.742127419,0.038976569
428,5.742103577,0.039130078
429,5.742855072,0.038447729
430,5.746332169,0.040658496
431,5.744175911,0.04054832
432,5.744776726,0.039730158
433,5.747106552,0.039509767
434,5.747001648,0.040796398
435,5.747004032,0.043169365
436,5.747213364,0.043822575
437,5.752025127,0.047016326
438,5.759305954,0.04815533
439,5.763249874,0.048965019
440,5.771054745,0.049031287
441,5.789885044,0.042568853
442,5.782846451,0.039574699
443,5.784905434,0.039925758
444,5.775361061,0.037456879
445,5.777763367,0.034645966
446,5.779221535,0.035217154
447,5.783149242,0.034800731
448,5.800018311,0.036492413
449,5.804899216,0.038946498
450,5.798193932,0.039683005
451,5.807871342,0.043011217
452,5.803924561,0.038861831
453,5.799593925,0.035273551
454,5.810268402,0.036473508
455,5.809251785,0.035199977
456,5.804476261,0.034066159
457,5.800887585,0.031145248
458,5.796835423,0.029160491
459,5.796901226,0.032086046
460,5.793470383,0.033458155
461,5.79471302,0.033310295
462,5.796756268,0.034741351
463,5.795789242,0.033761241
464,5.804733276,0.032927055
465,5.80730772,0.032294905
466,5.81325531,0.031468441
467,5.813111782,0.0306159
468,5.800410748,0.035203118
469,5.800370693,0.034750712
470,5.800904751,0.033829515
471,5.803204536,0.033669279
472,5.804427147,0.03297099
473,5.814619541,0.032588888
474,5.814435005,0.031020611
475,5.819082737,0.033526344
476,5.816012859,0.031378179
477,5.819900513,0.03216149
478,5.814764023,0.032136078
479,5.813035011,0.028511653
480,5.836810112,0.03556455
481,5.837772369,0.033594015
482,5.831760883,0.0328961
483,5.827795506,0.031744201
484,5.835440636,0.032623253
485,5.832280636,0.029827664
486,5.833845615,0.030363148
487,5.8333354,0.029205481
488,5.832340717,0.0296873
489,5.825191021,0.028024134
490,5.829803467,0.027899137
491,5.829788208,0.024976818
492,5.83369875,0.025596248
493,5.836912155,0.024601309
494,5.83547163,0.028878337
495,5.836992264,0.027853904
496,5.838861942,0.028080253
497,5.823171139,0.027057716
498,5.816488266,0.026400557
499,5.815165043,0.026476508
500,5.812016964,0.027521315
501,5.811826229,0.026796486
502,5.812922955,0.027853046
503,5.810205936,0.028811726
504,5.811767578,0.029107484
505,5.813230038,0.028168262
506,5.828382492,0.029139588
507,5.820139885,0.032575289
508,5.817427635,0.0346794
509,5.819941521,0.036429718
510,5.821363449,0.037388509
511,5.83074522,0.037697665
512,5.831178188,0.038968851
513,5.825409889,0.038165301
514,5.823267937,0.037301833
515,5.822666645,0.036445629
516,5.823548794,0.037033711
517,5.826833725,0.035928632
518,5.825181007,0.034762494
519,5.831287384,0.032867992
520,5.835185051,0.032818175
521,5.833001137,0.032138148
522,5.828012943,0.032400803
523,5.827583313,0.032845375
524,5.825008869,0.034730125
525,5.829095364,0.034505429
526,5.830904961,0.037486702
527,5.835155487,0.037088602
528,5.832532883,0.036566811
529,5.832316875,0.036687869
530,5.825934887,0.036172275
531,5.826199055,0.03627012
532,5.821570396,0.036754099
533,5.8139925,0.034805612
534,5.815301418,0.036242902
535,5.821650982,0.036009669
536,5.81662178,0.035323501
537,5.81359148,0.035866944
538,5.813630104,0.035251958
539,5.808375835,0.037111475
540,5.807525635,0.038222298
541,5.80833149,0.037507247
542,5.808287144,0.039899199
543,5.808017254,0.03745666
544,5.813274384,0.034592331
545,5.815037251,0.034970123
546,5.816953659,0.034943573
547,5.808915138,0.036563644
548,5.812275887,0.037125772
549,5.810515881,0.038311623
550,5.81203413,0.039456488
551,5.811538219,0.040298149
552,5.813187122,0.042331075
553,5.81196022,0.042614727
554,5.814795017,0.044504808
555,5.817263603,0.043801584
556,5.823273182,0.043671106
557,5.826157093,0.045417468
558,5.832173347,0.044686957
559,5.834553719,0.048328685
560,5.825654507,0.049441546
561,5.825820923,0.047530617
562,5.820465565,0.046754191
563,5.823328495,0.04315635
564,5.826122284,0.042718801
565,5.8250947,0.043112569
566,5.827804089,0.044070052
567,5.823306084,0.044275755
568,5.825129032,0.043505506
569,5.827947617,0.043246976
570,5.816171646,0.043654622
571,5.828770638,0.043697612
572,5.8223176,0.043111102
573,5.814912319,0.044561917
574,5.812922478,0.045349721
575,5.812231541,0.044997294
576,5.81008625,0.046168786
577,5.815590858,0.04655872
578,5.815826416,0.047093659
579,5.814314842,0.046260661
580,5.819266319,0.044287458
581,5.812626839,0.044456438
582,5.809649467,0.04342228
583,5.805503845,0.045893899
584,5.806145668,0.04812521
585,5.811722279,0.047503006
586,5.813044548,0.047148084
587,5.813017845,0.04691337
588,5.81336689,0.046232901
589,5.804329395,0.044764311
590,5.7954216,0.048450644
591,5.783958912,0.048004054
592,5.782318592,0.048333679
