,violate
320,0.225977421
321,0.226069927
322,0.22440958
323,0.225445271
324,0.22596693
325,0.22591877
326,0.225582123
327,0.228333473
328,0.227186203
329,0.226922989
330,0.227004528
331,0.227035522
332,0.231039524
333,0.231225967
334,0.231209755
335,0.231269836
336,0.230180264
337,0.231214046
338,0.23151207
339,0.231806278
340,0.233177662
341,0.234676361
342,0.23443222
343,0.232746124
344,0.235974789
345,0.236814976
346,0.236326218
347,0.23693037
348,0.237656116
349,0.237649441
350,0.237451077
351,0.23922205
352,0.239290237
353,0.238972187
354,0.235381126
355,0.23506403
356,0.234508514
357,0.23494339
358,0.235226154
359,0.234985828
360,0.233631134
361,0.233944416
362,0.234743118
363,0.234340191
364,0.23660326
365,0.236598492
366,0.238005161
367,0.238209248
368,0.238509655
369,0.238632202
370,0.238498211
371,0.238619328
372,0.238064766
373,0.238649368
374,0.239044666
375,0.239061356
376,0.238953114
377,0.239326954
378,0.239841938
379,0.240301132
380,0.23995018
381,0.240306854
382,0.240395546
383,0.240962982
384,0.241005898
385,0.241099358
386,0.241714478
387,0.24230814
388,0.242439747
389,0.242897511
390,0.242942333
391,0.243019104
392,0.243082523
393,0.242899895
394,0.242992401
395,0.242920399
396,0.242975235
397,0.242917061
398,0.242821217
399,0.242371559
400,0.24204731
401,0.241166592
402,0.240881443
403,0.241098404
404,0.240503788
405,0.240684986
406,0.240259647
407,0.241575241
408,0.241764545
409,0.241755009
410,0.241356373
411,0.243347168
412,0.243544579
413,0.243802071
414,0.233324528
415,0.233224392
416,0.232881546
417,0.235710621
418,0.235145569
419,0.231181622
420,0.231133938
421,0.246027946
422,0.245479584
423,0.249471664
424,0.249602795
425,0.249963284
426,0.249959469
427,0.251010418
428,0.250968933
429,0.25088644
430,0.250926018
431,0.250907421
432,0.25087595
433,0.250544071
434,0.250130653
435,0.250072002
436,0.250030518
437,0.249965191
438,0.249945164
439,0.249556065
440,0.249796391
441,0.249111176
442,0.248675823
443,0.248683929
444,0.24871397
445,0.248577118
446,0.249000549
447,0.249007225
448,0.249015808
449,0.249677658
450,0.249710083
451,0.249717712
452,0.250421524
453,0.250335217
454,0.250418186
455,0.250320435
456,0.25036335
457,0.250233173
458,0.250245094
459,0.250253677
460,0.250117779
461,0.250182152
462,0.250296116
463,0.250483036
464,0.249772549
465,0.2497015
466,0.249677658
467,0.24981308
468,0.249752045
469,0.249436378
470,0.249425411
471,0.249408245
472,0.24945879
473,0.24924469
474,0.249362946
475,0.249279499
476,0.249082088
477,0.24907732
478,0.249117851
479,0.249054909
480,0.249162197
481,0.249143124
482,0.248625278
483,0.24850893
484,0.248684406
485,0.248847961
486,0.24905014
487,0.249146938
488,0.249071598
489,0.249132633
490,0.249239445
491,0.249000072
492,0.24937439
493,0.24943161
494,0.249547005
495,0.249603748
496,0.249682903
497,0.249033451
498,0.248970985
499,0.249074459
500,0.249300957
501,0.249327183
502,0.249196529
503,0.249204159
504,0.249221802
505,0.249284267
506,0.249351978
507,0.250655651
508,0.250669956
509,0.251074791
510,0.250931263
511,0.250971794
512,0.250993252
513,0.250996113
514,0.251247883
515,0.251219273
516,0.25128603
517,0.251437664
518,0.251089096
519,0.251101017
520,0.251071453
521,0.250897408
522,0.250942707
523,0.250740528
524,0.250495911
525,0.250758648
526,0.250813007
527,0.250798225
528,0.250383377
529,0.250342369
530,0.250376225
531,0.250446796
532,0.25054121
533,0.250502586
534,0.250927448
535,0.250949383
536,0.251105785
537,0.251368999
538,0.251335621
539,0.251465797
540,0.25186491
541,0.252223492
542,0.25245142
543,0.252483845
544,0.252409458
545,0.252349377
546,0.252395153
547,0.252666473
548,0.252465725
549,0.252279758
550,0.252248287
551,0.252151012
552,0.252151966
553,0.250772953
554,0.25075388
555,0.250359058
556,0.250356674
557,0.250407696
558,0.250527382
559,0.250154495
560,0.249927998
561,0.249139309
562,0.248860836
563,0.24873209
564,0.248947144
565,0.248871803
566,0.248913288
567,0.248895168
568,0.248684406
569,0.24902153
570,0.249163151
571,0.249322891
572,0.249173641
573,0.248931408
574,0.248930454
575,0.248622417
576,0.248697758
577,0.248411179
578,0.248495102
579,0.248362541
580,0.248310089
581,0.248418331
582,0.248528957
583,0.248662472
584,0.248746395
585,0.248815536
586,0.24887228
587,0.24903965
588,0.249168873
589,0.249401093
590,0.249317169
591,0.249313354
592,0.249370575
593,0.249388218
594,0.249581814
595,0.249607563
596,0.249501228
597,0.249654293
598,0.249584675
599,0.24966383
600,0.249722481
601,0.250156403
602,0.250263691
603,0.250164032
604,0.250062943
605,0.250015736
606,0.250234604
607,0.250404835
608,0.250435829
609,0.250678062
610,0.25084877
611,0.251265049
612,0.251250744
613,0.251119137
614,0.251532078
615,0.251465321
616,0.251533985
617,0.25153923
618,0.251545429
619,0.251504421
620,0.250028133
621,0.250040531
622,0.249934196
623,0.250082493
624,0.249951839
625,0.249789715
626,0.250229359
627,0.250302315
628,0.250360966
629,0.250307083
630,0.251420021
631,0.250884056
632,0.251176834
633,0.251246452
634,0.250814438
635,0.250813961
636,0.250837803
637,0.250836849
638,0.250807285
639,0.250930309
640,0.251022339
641,0.251101494
642,0.250572681
643,0.250650406
644,0.25087595
645,0.250897884
646,0.249256611
647,0.249414921
648,0.249343395
649,0.249005318
650,0.248749256
651,0.248539448
652,0.248752117
653,0.248575211
654,0.248709679
655,0.24874258
656,0.251354694
657,0.25143671
658,0.251268387
659,0.251031876
660,0.25102663
661,0.250954151
662,0.249901772
663,0.249928951
664,0.249869823
665,0.249818802
666,0.249742985
667,0.249430656
668,0.249343872
669,0.250001431
670,0.250056744
671,0.250007153
672,0.24985981
673,0.24972105
674,0.249970913
675,0.249993324
676,0.249883652
677,0.249853134
678,0.250550747
679,0.251055717
680,0.25029707
681,0.250593185
682,0.250770092
683,0.250836849
684,0.25146246
685,0.251054764
686,0.25092268
687,0.250928879
688,0.250852585
689,0.250893593
690,0.25092268
691,0.251161098
692,0.251223087
693,0.251280308
694,0.251213074
695,0.250964642
696,0.250930309
697,0.251533985
698,0.251496792
699,0.251584053
700,0.25168848
701,0.251688004
702,0.251952648
703,0.251820087
704,0.251716614
705,0.251383305
706,0.251412868
707,0.251347065
708,0.251268864
709,0.251076221
710,0.251178265
711,0.251151562
712,0.251420498
713,0.251848221
714,0.251853943
715,0.251948833
716,0.251950741
717,0.252099514
718,0.251856327
719,0.251202106
720,0.251079082
721,0.25114584
722,0.251184464
723,0.251477242
724,0.251392841
725,0.25190115
726,0.251873493
727,0.251786232
728,0.251486778
729,0.251549244
730,0.251525402
731,0.251364708
732,0.251369953
733,0.251625061
734,0.251367092
735,0.25131464
736,0.25190115
737,0.2517519
738,0.251164436
739,0.252851009
740,0.2529006
741,0.252928257
742,0.253949165
743,0.253954411
744,0.253723621
745,0.253908634
746,0.253948689
747,0.253707886
748,0.253140926
749,0.251628876
750,0.251636982
751,0.25212574
752,0.252390862
753,0.252444744
754,0.252503395
755,0.252389908
756,0.252155304
757,0.252133369
758,0.252074718
759,0.251839161
760,0.25171423
761,0.250678062
762,0.250698566
763,0.250506878
764,0.250563145
765,0.250394344
766,0.250287533
767,0.250204086
768,0.250460148
769,0.250384331
770,0.250474453
771,0.250253201
772,0.25027132
773,0.250607967
774,0.250709057
775,0.250840664
776,0.250729084
777,0.250776291
778,0.249939442
779,0.250147343
780,0.250010014
781,0.250274658
782,0.250748158
783,0.251143932
784,0.250983715
785,0.250957012
786,0.251116753
787,0.251390934
788,0.251618862
789,0.251595497
790,0.251434803
791,0.249324799
792,0.250293255
793,0.250155449
794,0.250345707
795,0.250353336
796,0.250490189
797,0.252649307
798,0.25273037
799,0.25286293
800,0.253080845
801,0.253149033
802,0.253155708
803,0.253341198
804,0.253143787
805,0.253129005
806,0.251757145
807,0.251926899
808,0.252234459
809,0.251346588
810,0.251732349
811,0.251268864
812,0.25121212
813,0.251167297
814,0.250932693
815,0.251190662
816,0.251374722
817,0.251812458
818,0.251741886
819,0.251290798
820,0.250772953
821,0.250931263
822,0.250326157
823,0.250491142
824,0.250446796
825,0.250291348
826,0.250378132
827,0.250322342
828,0.24959898
829,0.249320984
830,0.249705315
831,0.24951601
832,0.248839378
833,0.25049305
834,0.25028801
835,0.2515769
836,0.251517773
837,0.251671314
838,0.251759052
839,0.251706123
840,0.250844955
841,0.25069952
842,0.250977993
843,0.250973701
844,0.25110817
845,0.253153324
846,0.253016949
847,0.252898693
848,0.253389359
849,0.253051758
850,0.252994061
851,0.25299263
852,0.25318861
853,0.253088474
854,0.252939701
855,0.253595352
856,0.253436565
857,0.253479481
858,0.25352335
859,0.253632545
860,0.25416851
861,0.254173756
862,0.255115986
863,0.255099773
864,0.255280018
865,0.255293369
866,0.255177021
867,0.255124569
868,0.25515604
869,0.255200386
870,0.255213261
871,0.255253315
872,0.255437374
873,0.255337238
874,0.255317211
875,0.255186081
876,0.255205631
877,0.257290363
878,0.257307053
879,0.257202148
880,0.257185459
881,0.25696373
882,0.257151604
883,0.257702351
884,0.257702351
885,0.257622719
886,0.257553577
887,0.257520199
888,0.257568836
889,0.257623196
890,0.257467747
891,0.257035732
892,0.257092476
893,0.257136822
894,0.257168293
895,0.257308483
896,0.257270336
897,0.257130623
898,0.257255077
899,0.25728178
900,0.257304668
901,0.25731039
902,0.257174969
903,0.257103443
904,0.257166862
905,0.257206917
906,0.256189346
907,0.256135464
908,0.256051064
909,0.256030083
910,0.256120682
911,0.256053925
912,0.256116867
913,0.256154537
914,0.256327152
915,0.25647068
916,0.256475925
917,0.256523132
918,0.25633812
919,0.256304264
920,0.256289959
921,0.256127834
922,0.256081104
923,0.255978584
924,0.25595808
925,0.255926132
926,0.255827427
927,0.255756855
928,0.255487442
929,0.254187107
930,0.254794598
931,0.254923344
932,0.254705906
933,0.254246712
934,0.254263878
935,0.254276276
936,0.254609585
937,0.254504204
938,0.254447937
939,0.254359245
940,0.255692482
941,0.255830288
942,0.255703926
943,0.255801678
944,0.255690098
945,0.255924225
946,0.255866051
947,0.255933285
948,0.256185532
949,0.256165981
950,0.255942345
951,0.25597477
952,0.25597477
953,0.255943298
954,0.256218433
955,0.255329609
956,0.255165577
957,0.25512886
958,0.253311157
959,0.253191471
960,0.253026962
961,0.253086567
962,0.252922058
963,0.252604008
964,0.252499104
965,0.252750874
966,0.253310204
967,0.2532897
968,0.253736973
969,0.254432201
970,0.254333973
971,0.254342556
972,0.254254341
973,0.254477024
974,0.254443645
975,0.258454323
976,0.258471012
977,0.258538723
978,0.258581161
979,0.258563042
980,0.258518219
981,0.258520126
982,0.258584023
983,0.258575439
984,0.258514404
985,0.258565426
986,0.258584499
987,0.258618355
988,0.258453369
989,0.258714676
990,0.258685112
991,0.258669376
992,0.258623123
993,0.258593559
994,0.258587837
995,0.258556366
996,0.258587837
997,0.258579254
998,0.258616447
999,0.25861311
